2015-06-24 12:21:57 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:21:57 INFO  :146 - Successfully built GUI
2015-06-24 12:25:39 INFO  :46 - Progrem starting
2015-06-24 12:25:39 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:25:40 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:25:40 INFO  :147 - Successfully built GUI
2015-06-24 12:31:29 INFO  :47 - Progrem starting
2015-06-24 12:31:29 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:31:29 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:31:29 INFO  :154 - Successfully built GUI
2015-06-24 12:38:12 INFO  :47 - Progrem starting
2015-06-24 12:38:12 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:38:12 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:38:12 INFO  :159 - Successfully built GUI
2015-06-24 12:41:53 INFO  :47 - Progrem starting
2015-06-24 12:41:53 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:41:53 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:41:54 INFO  :159 - Successfully built GUI
2015-06-24 12:41:54 INFO  :67 - Next update in 10 minutes
2015-06-24 12:44:10 INFO  :47 - Progrem starting
2015-06-24 12:44:10 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:44:10 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:44:11 INFO  :159 - Successfully built GUI
2015-06-24 12:44:11 INFO  :67 - Next update in 10 minutes
2015-06-24 12:47:04 INFO  :47 - Progrem starting
2015-06-24 12:47:04 INFO  :56 - Opening stream to bank of israel
2015-06-24 12:47:04 INFO  :118 - Closing stream with bank of israel
2015-06-24 12:47:05 INFO  :159 - Successfully built GUI
2015-06-24 12:47:05 INFO  :67 - Next update in 10 minutes
2015-06-24 12:57:05 INFO  :69 - Table updated
2015-06-24 12:57:05 INFO  :67 - Next update in 10 minutes
2015-06-24 13:02:11 INFO  :47 - Progrem starting
2015-06-24 13:02:11 INFO  :56 - Opening stream to bank of israel
2015-06-24 13:02:13 INFO  :118 - Closing stream with bank of israel
2015-06-24 13:02:13 INFO  :162 - Successfully built GUI
2015-06-24 13:02:13 INFO  :67 - Next update in 10 minutes
2015-06-24 13:03:55 INFO  :47 - Progrem starting
2015-06-24 13:03:55 INFO  :56 - Opening stream to bank of israel
2015-06-24 13:03:55 INFO  :118 - Closing stream with bank of israel
2015-06-24 13:03:55 INFO  :162 - Successfully built GUI
2015-06-24 13:03:55 INFO  :67 - Next update in 10 minutes
2015-06-24 13:05:34 INFO  :48 - Progrem starting
2015-06-24 13:05:34 INFO  :56 - Opening stream to bank of israel
2015-06-24 13:05:34 INFO  :118 - Closing stream with bank of israel
2015-06-24 13:05:35 INFO  :164 - Successfully built GUI
2015-06-24 13:05:35 INFO  :67 - Next update in 10 minutes
2015-06-24 13:06:43 INFO  :48 - Progrem starting
2015-06-24 13:06:43 INFO  :56 - Opening stream to bank of israel
2015-06-24 13:06:44 INFO  :118 - Closing stream with bank of israel
2015-06-24 13:06:44 INFO  :164 - Successfully built GUI
2015-06-24 13:06:44 INFO  :67 - Next update in 10 minutes
2015-07-04 17:45:32 INFO  :47 - Progrem starting
2015-07-04 17:45:32 INFO  :56 - Opening stream to bank of israel
2015-07-04 17:45:32 INFO  :118 - Closing stream with bank of israel
2015-07-04 17:45:34 INFO  :162 - Successfully built GUI
2015-07-04 17:45:34 INFO  :67 - Next update in 10 minutes
2015-07-04 17:48:02 INFO  :47 - Progrem starting
2015-07-04 17:48:02 INFO  :56 - Opening stream to bank of israel
2015-07-04 17:48:02 INFO  :118 - Closing stream with bank of israel
2015-07-04 17:48:04 INFO  :162 - Successfully built GUI
2015-07-04 17:48:04 INFO  :67 - Next update in 10 minutes
2015-07-04 17:48:09 INFO  :69 - Table updated
2015-07-04 17:48:09 INFO  :67 - Next update in 10 minutes
2015-07-04 17:48:14 INFO  :69 - Table updated
2015-07-04 17:48:14 INFO  :67 - Next update in 10 minutes
2015-07-04 17:48:19 INFO  :69 - Table updated
2015-07-04 17:48:20 INFO  :67 - Next update in 10 minutes
2015-07-04 17:50:59 INFO  :47 - Program starting
2015-07-04 17:50:59 INFO  :56 - Opening stream to bank of israel
2015-07-04 17:50:59 INFO  :118 - Closing stream with bank of israel
2015-07-04 17:51:01 INFO  :162 - Successfully built GUI
2015-07-04 17:51:01 INFO  :67 - Next update in 10 minutes
2015-07-11 17:10:59 INFO  :47 - Program starting
2015-07-11 17:10:59 INFO  :56 - Opening stream to bank of israel
2015-07-11 17:11:00 INFO  :118 - Closing stream with bank of israel
2015-07-11 17:11:02 INFO  :162 - Successfully built GUI
2015-07-11 17:11:02 INFO  :67 - Next update in 10 minutes
2015-07-13 17:51:32 INFO  :47 - Program starting
2015-07-13 17:51:32 INFO  :60 - Opening stream to bank of israel
2015-07-13 17:51:32 INFO  :122 - Closing stream with bank of israel
2015-07-13 17:51:39 INFO  :162 - Successfully built GUI
2015-07-13 17:51:39 INFO  :67 - Next update in 10 minutes
2015-07-13 18:27:51 INFO  :47 - Program starting
2015-07-13 18:27:51 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:27:52 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:27:54 INFO  :162 - Successfully built GUI
2015-07-13 18:27:54 INFO  :67 - Next update in 10 minutes
2015-07-13 18:34:56 INFO  :47 - Program starting
2015-07-13 18:34:56 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:34:56 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:34:58 INFO  :162 - Successfully built GUI
2015-07-13 18:34:58 INFO  :67 - Next update in 10 minutes
2015-07-13 18:49:19 INFO  :51 - Program starting
2015-07-13 18:49:19 INFO  :56 - Opening stream to bank of israel
2015-07-13 18:49:19 INFO  :118 - Closing stream with bank of israel
2015-07-13 18:49:21 INFO  :169 - Successfully built GUI
2015-07-13 18:49:21 INFO  :67 - Next update in 10 minutes
